,new_customer_id
0,12351.0
1,12385.0
2,12386.0
3,12427.0
4,12441.0
5,12538.0
6,12686.0
7,12738.0
8,12763.0
9,12767.0
10,12942.0
11,12947.0
12,12961.0
13,12996.0
14,13011.0
15,13030.0
16,13254.0
17,13270.0
18,13369.0
19,13370.0
20,13626.0
21,13955.0
22,14414.0
23,14491.0
24,14576.0
25,14589.0
26,14594.0
27,14627.0
28,14721.0
29,14775.0
30,15018.0
31,15020.0
32,15048.0
33,15165.0
34,15211.0
35,15212.0
36,15404.0
37,15495.0
38,15540.0
39,15545.0
40,15583.0
41,15828.0
42,15880.0
43,15894.0
44,15899.0
45,15919.0
46,15922.0
47,15923.0
48,15939.0
49,15961.0
